"State","Abbreviation","Trump","Gov_R"
"Alabama","AL",1,1
"Alaska","AK",1,1
"Arizona","AZ",1,1
"Arkansas","AR",1,1
"California","CA",0,0
"Colorado","CO",0,0
"Connecticut","CT",0,0
"Delaware","DE",0,0
"District of Columbia","DC",0,0
"Florida","FL",1,1
"Georgia","GA",1,1
"Hawaii","HI",0,0
"Idaho","ID",1,1
"Illinois","IL",0,0
"Indiana","IN",1,1
"Iowa","IA",1,1
"Kansas","KS",1,0
"Kentucky","KY",1,0
"Louisiana","LA",1,0
"Maine","ME",0,0
"Montana","MT",1,0
"Nebraska","NE",1,1
"Nevada","NV",0,0
"New Hampshire","NH",0,1
"New Jersey","NJ",0,0
"New Mexico","NM",0,0
"New York","NY",0,0
"North Carolina","NC",1,0
"North Dakota","ND",1,1
"Ohio","OH",1,1
"Oklahoma","OK",1,1
"Oregon","OR",0,0
"Maryland","MD",0,1
"Massachusetts","MA",0,1
"Michigan","MI",1,0
"Minnesota","MN",0,0
"Mississippi","MS",1,1
"Missouri","MO",1,1
"Pennsylvania","PA",1,0
"Rhode Island","RI",0,0
"South Carolina","SC",1,1
"South Dakota","SD",1,1
"Tennessee","TN",1,1
"Texas","TX",1,1
"Utah","UT",1,1
"Vermont","VT",0,1
"Virginia","VA",0,0
"Washington","WA",0,0
"West Virginia","WV",1,1
"Wisconsin","WI",1,0
"Wyoming","WY",1,1
